"clever_id","stop_id","stop_name","direction","routes_ser","latitude","longitude","mode","shelter","stop_type","datekey","time_period","route_name","serviceday","total_ons","total_offs","days","avg_ons","avg_offs"
"20796","E70825","VIADUCT WAY TERMINAL","Both","69, P69",40.3852,-79.7614,"Bus","No Shelter","Bus Stop","202009","Pandemic","P69","Weekday",71,27,21,3.38095238095238,1.28571428571429
"20796","E70825","VIADUCT WAY TERMINAL","Both","69, P69",40.3852,-79.7614,"Bus","No Shelter","Bus Stop","202104","Pandemic","69","Sat",5,5,4,1.25,1.25
"20796","E70825","VIADUCT WAY TERMINAL","Both","69, P69",40.3852,-79.7614,"Bus","No Shelter","Bus Stop","202104","Pandemic","69","Sun",9,5,4,2.25,1.25
"20796","E70825","VIADUCT WAY TERMINAL","Both","69, P69",40.3852,-79.7614,"Bus","No Shelter","Bus Stop","202104","Pandemic","69","Weekday",205,230,22,9.31818181818182,10.4545454545455
"20796","E70825","VIADUCT WAY TERMINAL","Both","69, P69",40.3852,-79.7614,"Bus","No Shelter","Bus Stop","202104","Pandemic","P69","Weekday",44,2,22,2,0.0909090909090909
"20141","E70826","BRINTON AVE AT 5TH ST NS","Inbound","69, P69",40.3854,-79.7609,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","69","Sat",3,0,4,0.75,0
"20141","E70826","BRINTON AVE AT 5TH ST NS","Inbound","69, P69",40.3854,-79.7609,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","69","Sun",0,0,6,0,0
"20141","E70826","BRINTON AVE AT 5TH ST NS","Inbound","69, P69",40.3854,-79.7609,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","69","Weekday",62,11,20,3.1,0.55
"20141","E70826","BRINTON AVE AT 5TH ST NS","Inbound","69, P69",40.3854,-79.7609,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","P69","Weekday",4,0,20,0.2,0
"20141","E70826","BRINTON AVE AT 5TH ST NS","Inbound","69, P69",40.3854,-79.7609,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","69","Sat",14,0,4,3.5,0
"20141","E70826","BRINTON AVE AT 5TH ST NS","Inbound","69, P69",40.3854,-79.7609,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","69","Sun",9,0,5,1.8,0
"20141","E70826","BRINTON AVE AT 5TH ST NS","Inbound","69, P69",40.3854,-79.7609,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","69","Weekday",62,6,22,2.81818181818182,0.272727272727273
"20141","E70826","BRINTON AVE AT 5TH ST NS","Inbound","69, P69",40.3854,-79.7609,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","P69","Weekday",19,0,22,0.863636363636364,0
"20141","E70826","BRINTON AVE AT 5TH ST NS","Inbound","69, P69",40.3854,-79.7609,"Bus","No Shelter","Bus Stop","202009","Pandemic","69","Sat",0,0,4,0,0
"20141","E70826","BRINTON AVE AT 5TH ST NS","Inbound","69, P69",40.3854,-79.7609,"Bus","No Shelter","Bus Stop","202009","Pandemic","69","Sun",0,0,5,0,0
"20141","E70826","BRINTON AVE AT 5TH ST NS","Inbound","69, P69",40.3854,-79.7609,"Bus","No Shelter","Bus Stop","202009","Pandemic","69","Weekday",48,9,21,2.28571428571429,0.428571428571429
"20141","E70826","BRINTON AVE AT 5TH ST NS","Inbound","69, P69",40.3854,-79.7609,"Bus","No Shelter","Bus Stop","202009","Pandemic","P69","Weekday",10,5,21,0.476190476190476,0.238095238095238
"20141","E70826","BRINTON AVE AT 5TH ST NS","Inbound","69, P69",40.3854,-79.7609,"Bus","No Shelter","Bus Stop","202104","Pandemic","69","Sat",0,0,4,0,0
"20141","E70826","BRINTON AVE AT 5TH ST NS","Inbound","69, P69",40.3854,-79.7609,"Bus","No Shelter","Bus Stop","202104","Pandemic","69","Sun",0,0,4,0,0
"20141","E70826","BRINTON AVE AT 5TH ST NS","Inbound","69, P69",40.3854,-79.7609,"Bus","No Shelter","Bus Stop","202104","Pandemic","69","Weekday",63,13,22,2.86363636363636,0.590909090909091
"20141","E70826","BRINTON AVE AT 5TH ST NS","Inbound","69, P69",40.3854,-79.7609,"Bus","No Shelter","Bus Stop","202104","Pandemic","P69","Weekday",12,5,22,0.545454545454545,0.227272727272727
"20791","E70827","FOREST AVE AT 7TH ST","Inbound","69, P69",40.3873,-79.7571,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","69","Sat",0,0,4,0,0
"20791","E70827","FOREST AVE AT 7TH ST","Inbound","69, P69",40.3873,-79.7571,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","69","Sun",0,0,6,0,0
"20791","E70827","FOREST AVE AT 7TH ST","Inbound","69, P69",40.3873,-79.7571,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","69","Weekday",2,0,20,0.1,0
"20791","E70827","FOREST AVE AT 7TH ST","Inbound","69, P69",40.3873,-79.7571,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","P69","Weekday",1,0,20,0.05,0
"20791","E70827","FOREST AVE AT 7TH ST","Inbound","69, P69",40.3873,-79.7571,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","69","Sat",1,0,4,0.25,0
"20791","E70827","FOREST AVE AT 7TH ST","Inbound","69, P69",40.3873,-79.7571,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","69","Sun",0,0,5,0,0
"20791","E70827","FOREST AVE AT 7TH ST","Inbound","69, P69",40.3873,-79.7571,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","69","Weekday",1,0,22,0.0454545454545455,0
"20791","E70827","FOREST AVE AT 7TH ST","Inbound","69, P69",40.3873,-79.7571,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","P69","Weekday",16,1,22,0.727272727272727,0.0454545454545455
"20791","E70827","FOREST AVE AT 7TH ST","Inbound","69, P69",40.3873,-79.7571,"Bus","No Shelter","Bus Stop","202009","Pandemic","69","Sat",0,0,4,0,0
"20791","E70827","FOREST AVE AT 7TH ST","Inbound","69, P69",40.3873,-79.7571,"Bus","No Shelter","Bus Stop","202009","Pandemic","69","Sun",0,0,5,0,0
"20791","E70827","FOREST AVE AT 7TH ST","Inbound","69, P69",40.3873,-79.7571,"Bus","No Shelter","Bus Stop","202009","Pandemic","69","Weekday",0,0,21,0,0
"20791","E70827","FOREST AVE AT 7TH ST","Inbound","69, P69",40.3873,-79.7571,"Bus","No Shelter","Bus Stop","202009","Pandemic","P69","Weekday",0,0,21,0,0
"20791","E70827","FOREST AVE AT 7TH ST","Inbound","69, P69",40.3873,-79.7571,"Bus","No Shelter","Bus Stop","202104","Pandemic","69","Sat",0,0,4,0,0
"20791","E70827","FOREST AVE AT 7TH ST","Inbound","69, P69",40.3873,-79.7571,"Bus","No Shelter","Bus Stop","202104","Pandemic","69","Sun",0,0,4,0,0
"20791","E70827","FOREST AVE AT 7TH ST","Inbound","69, P69",40.3873,-79.7571,"Bus","No Shelter","Bus Stop","202104","Pandemic","69","Weekday",1,0,22,0.0454545454545455,0
"20791","E70827","FOREST AVE AT 7TH ST","Inbound","69, P69",40.3873,-79.7571,"Bus","No Shelter","Bus Stop","202104","Pandemic","P69","Weekday",0,0,22,0,0
"20793","E70828","7TH ST EXT AT TIMBER DR","Inbound","69, P69",40.3881,-79.7484,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","69","Sat",1,0,4,0.25,0
"20793","E70828","7TH ST EXT AT TIMBER DR","Inbound","69, P69",40.3881,-79.7484,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","69","Sun",0,0,6,0,0
"20793","E70828","7TH ST EXT AT TIMBER DR","Inbound","69, P69",40.3881,-79.7484,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","69","Weekday",25,0,20,1.25,0
"20793","E70828","7TH ST EXT AT TIMBER DR","Inbound","69, P69",40.3881,-79.7484,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","P69","Weekday",47,0,20,2.35,0
"20793","E70828","7TH ST EXT AT TIMBER DR","Inbound","69, P69",40.3881,-79.7484,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","69","Sat",0,0,4,0,0
"20793","E70828","7TH ST EXT AT TIMBER DR","Inbound","69, P69",40.3881,-79.7484,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","69","Sun",1,0,5,0.2,0
"20793","E70828","7TH ST EXT AT TIMBER DR","Inbound","69, P69",40.3881,-79.7484,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","69","Weekday",11,0,22,0.5,0
"20793","E70828","7TH ST EXT AT TIMBER DR","Inbound","69, P69",40.3881,-79.7484,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","P69","Weekday",58,0,22,2.63636363636364,0
"20793","E70828","7TH ST EXT AT TIMBER DR","Inbound","69, P69",40.3881,-79.7484,"Bus","No Shelter","Bus Stop","202009","Pandemic","69","Sat",0,0,4,0,0
"20793","E70828","7TH ST EXT AT TIMBER DR","Inbound","69, P69",40.3881,-79.7484,"Bus","No Shelter","Bus Stop","202009","Pandemic","69","Sun",0,0,5,0,0
"20793","E70828","7TH ST EXT AT TIMBER DR","Inbound","69, P69",40.3881,-79.7484,"Bus","No Shelter","Bus Stop","202009","Pandemic","69","Weekday",0,0,21,0,0
"20793","E70828","7TH ST EXT AT TIMBER DR","Inbound","69, P69",40.3881,-79.7484,"Bus","No Shelter","Bus Stop","202009","Pandemic","P69","Weekday",0,0,21,0,0
"20793","E70828","7TH ST EXT AT TIMBER DR","Inbound","69, P69",40.3881,-79.7484,"Bus","No Shelter","Bus Stop","202104","Pandemic","69","Sat",0,0,4,0,0
"20793","E70828","7TH ST EXT AT TIMBER DR","Inbound","69, P69",40.3881,-79.7484,"Bus","No Shelter","Bus Stop","202104","Pandemic","69","Sun",0,0,4,0,0
"20793","E70828","7TH ST EXT AT TIMBER DR","Inbound","69, P69",40.3881,-79.7484,"Bus","No Shelter","Bus Stop","202104","Pandemic","69","Weekday",1,2,22,0.0454545454545455,0.0909090909090909
"20793","E70828","7TH ST EXT AT TIMBER DR","Inbound","69, P69",40.3881,-79.7484,"Bus","No Shelter","Bus Stop","202104","Pandemic","P69","Weekday",0,0,22,0,0
"20794","E70829","FORBES RD AT MEADOW ST","Inbound","69, P69",40.389,-79.7503,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","69","Sat",0,0,4,0,0
"20794","E70829","FORBES RD AT MEADOW ST","Inbound","69, P69",40.389,-79.7503,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","69","Sun",0,0,6,0,0
"20794","E70829","FORBES RD AT MEADOW ST","Inbound","69, P69",40.389,-79.7503,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","69","Weekday",0,0,20,0,0
"20794","E70829","FORBES RD AT MEADOW ST","Inbound","69, P69",40.389,-79.7503,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","P69","Weekday",0,0,20,0,0
"20794","E70829","FORBES RD AT MEADOW ST","Inbound","69, P69",40.389,-79.7503,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","69","Sat",0,0,4,0,0
"20794","E70829","FORBES RD AT MEADOW ST","Inbound","69, P69",40.389,-79.7503,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","69","Sun",0,0,5,0,0
"20794","E70829","FORBES RD AT MEADOW ST","Inbound","69, P69",40.389,-79.7503,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","69","Weekday",15,0,22,0.681818181818182,0
"20794","E70829","FORBES RD AT MEADOW ST","Inbound","69, P69",40.389,-79.7503,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","P69","Weekday",0,0,22,0,0
"20794","E70829","FORBES RD AT MEADOW ST","Inbound","69, P69",40.389,-79.7503,"Bus","No Shelter","Bus Stop","202009","Pandemic","69","Sat",0,0,4,0,0
"20794","E70829","FORBES RD AT MEADOW ST","Inbound","69, P69",40.389,-79.7503,"Bus","No Shelter","Bus Stop","202009","Pandemic","69","Sun",0,0,5,0,0
"20794","E70829","FORBES RD AT MEADOW ST","Inbound","69, P69",40.389,-79.7503,"Bus","No Shelter","Bus Stop","202009","Pandemic","69","Weekday",0,0,21,0,0
"20794","E70829","FORBES RD AT MEADOW ST","Inbound","69, P69",40.389,-79.7503,"Bus","No Shelter","Bus Stop","202009","Pandemic","P69","Weekday",0,0,21,0,0
"20794","E70829","FORBES RD AT MEADOW ST","Inbound","69, P69",40.389,-79.7503,"Bus","No Shelter","Bus Stop","202104","Pandemic","69","Sat",0,0,4,0,0
"20794","E70829","FORBES RD AT MEADOW ST","Inbound","69, P69",40.389,-79.7503,"Bus","No Shelter","Bus Stop","202104","Pandemic","69","Sun",0,0,4,0,0
"20794","E70829","FORBES RD AT MEADOW ST","Inbound","69, P69",40.389,-79.7503,"Bus","No Shelter","Bus Stop","202104","Pandemic","69","Weekday",0,0,22,0,0
"20794","E70829","FORBES RD AT MEADOW ST","Inbound","69, P69",40.389,-79.7503,"Bus","No Shelter","Bus Stop","202104","Pandemic","P69","Weekday",0,0,22,0,0
"12659","N01830","4TH AVE AT 7TH ST","Both","1",40.5626,-79.7657,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","1","Sat",71,91,4,17.75,22.75
"12659","N01830","4TH AVE AT 7TH ST","Both","1",40.5626,-79.7657,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","1","Sun",73,77,6,12.1666666666667,12.8333333333333
"12659","N01830","4TH AVE AT 7TH ST","Both","1",40.5626,-79.7657,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","1","Weekday",481,494,20,24.05,24.7
"12659","N01830","4TH AVE AT 7TH ST","Both","1",40.5626,-79.7657,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","1","Sat",66,71,4,16.5,17.75
"12659","N01830","4TH AVE AT 7TH ST","Both","1",40.5626,-79.7657,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","1","Sun",51,67,5,10.2,13.4
"12659","N01830","4TH AVE AT 7TH ST","Both","1",40.5626,-79.7657,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","1","Weekday",461,605,22,20.9545454545455,27.5
"12659","N01830","4TH AVE AT 7TH ST","Both","1",40.5626,-79.7657,"Bus","No Shelter","Bus Stop","202009","Pandemic","1","Sat",62,55,4,15.5,13.75
"12659","N01830","4TH AVE AT 7TH ST","Both","1",40.5626,-79.7657,"Bus","No Shelter","Bus Stop","202009","Pandemic","1","Sun",46,41,5,9.2,8.2
"12659","N01830","4TH AVE AT 7TH ST","Both","1",40.5626,-79.7657,"Bus","No Shelter","Bus Stop","202009","Pandemic","1","Weekday",340,351,21,16.1904761904762,16.7142857142857
"12659","N01830","4TH AVE AT 7TH ST","Both","1",40.5626,-79.7657,"Bus","No Shelter","Bus Stop","202104","Pandemic","1","Sat",58,54,4,14.5,13.5
"12659","N01830","4TH AVE AT 7TH ST","Both","1",40.5626,-79.7657,"Bus","No Shelter","Bus Stop","202104","Pandemic","1","Sun",33,41,4,8.25,10.25
"12659","N01830","4TH AVE AT 7TH ST","Both","1",40.5626,-79.7657,"Bus","No Shelter","Bus Stop","202104","Pandemic","1","Weekday",498,436,22,22.6363636363636,19.8181818181818
"12658","N01935","4TH AVE AT CENTRAL CITY PLAZA","Both","1",40.5649,-79.7663,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","1","Sat",514,498,4,128.5,124.5
"12658","N01935","4TH AVE AT CENTRAL CITY PLAZA","Both","1",40.5649,-79.7663,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","1","Sun",401,338,6,66.8333333333333,56.3333333333333
"12658","N01935","4TH AVE AT CENTRAL CITY PLAZA","Both","1",40.5649,-79.7663,"Bus","No Shelter","Bus Stop","201909","Pre-pandemic","1","Weekday",3788,3495,20,189.4,174.75
"12658","N01935","4TH AVE AT CENTRAL CITY PLAZA","Both","1",40.5649,-79.7663,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","1","Sat",436,356,4,109,89
"12658","N01935","4TH AVE AT CENTRAL CITY PLAZA","Both","1",40.5649,-79.7663,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","1","Sun",382,304,5,76.4,60.8
"12658","N01935","4TH AVE AT CENTRAL CITY PLAZA","Both","1",40.5649,-79.7663,"Bus","No Shelter","Bus Stop","202001","Pre-pandemic","1","Weekday",3818,3331,22,173.545454545455,151.409090909091
"12658","N01935","4TH AVE AT CENTRAL CITY PLAZA","Both","1",40.5649,-79.7663,"Bus","No Shelter","Bus Stop","202009","Pandemic","1","Sat",276,260,4,69,65
"12658","N01935","4TH AVE AT CENTRAL CITY PLAZA","Both","1",40.5649,-79.7663,"Bus","No Shelter","Bus Stop","202009","Pandemic","1","Sun",299,190,5,59.8,38
"12658","N01935","4TH AVE AT CENTRAL CITY PLAZA","Both","1",40.5649,-79.7663,"Bus","No Shelter","Bus Stop","202009","Pandemic","1","Weekday",2085,1817,21,99.2857142857143,86.5238095238095
